mall_id,name,region,operator,lat,lon,A_dining_count,A_dining_score,B_fitness_count,B_fitness_score,C_engagement_count,C_engagement_score,D_healthcare_count,D_healthcare_score,E_infra_count,E_infra_score,F_partnership_score,pop_catchment,senior_pop_catchment,reach_population_score,mrt_count,bus_count,accessibility_score,engagement_gap_score,supply_score,demand_score,hpm_index,rank,tier,top10,top20,top50,supply_high,demand_high,quadrant
63,Tampines Mall,East,CapitaMall Trust,1.352527372785196,103.9446987510717,128,61.83574879227053,1,14.285714285714285,0,0.0,14,82.35294117647058,12,2.5210084033613445,80.0,210650.0,31420.0,100.0,10,12,33.16510454217736,100.0,38.670527792437426,77.72170151405913,50.38587990892395,1,Platinum,True,True,True,True,True,Pioneer HPM
94,West Mall,West,Unknown,1.350021075943163,103.7492164938305,207,100.0,0,0.0,2,100.0,17,100.0,9,1.8907563025210083,0.0,87740.0,11870.0,40.48996611530827,8,11,29.16366258111031,0.0,55.765639589169005,23.217876232139528,46.00131058206016,2,Platinum,True,True,True,True,False,Quick Wins
128,One Raffles Place,Central,Unknown,1.284349546223077,103.8510725458335,28,13.526570048309178,7,100.0,0,0.0,8,47.05882352941176,65,13.655462184873947,0.0,14410.0,2840.0,7.500160380792197,73,8,65.78947368421052,100.0,32.725634537228736,57.76321135500091,40.23690758256039,3,Platinum,True,True,True,True,True,Pioneer HPM
65,Pasir Ris Mall,East,Unknown,1.373824377794677,103.9487488736156,82,39.61352657004831,0,0.0,1,50.0,8,47.05882352941176,402,84.45378151260505,0.0,138110.0,14780.0,60.00664246928703,2,14,32.94881038211968,50.0,33.94960238523751,47.65181761713558,38.060266954806934,4,Platinum,True,True,True,True,True,Pioneer HPM
3,Bugis+,Central,CapitaMall Trust,1.299603689902971,103.8542423474883,40,19.32367149758454,3,42.857142857142854,0,0.0,2,11.76470588235294,0,0.0,80.0,23290.0,5900.0,13.372732666598472,48,21,82.87671232876713,100.0,25.087574482288893,65.41648166512188,37.18624663713879,5,Platinum,True,True,True,True,True,Pioneer HPM
2,Bugis Junction,Central,CapitaMall Trust,1.299112874758746,103.8554111737572,31,14.975845410628018,2,28.57142857142857,0,0.0,2,11.76470588235294,0,0.0,80.0,20630.0,5350.0,11.96365875500085,47,21,82.1917808219178,100.0,20.705241839086685,64.71847985897288,33.90921324505255,6,Platinum,True,True,True,True,True,Pioneer HPM
125,Lot One,West,CapitaMall Trust,1.385069923256194,103.7452388682375,32,15.458937198067632,0,0.0,1,50.0,5,29.411764705882355,50,10.504201680672267,80.0,151680.0,16180.0,65.85274640963837,11,11,31.218457101658252,50.0,25.951478820191525,49.023734503765546,32.873155525263726,7,Platinum,True,True,True,True,True,Pioneer HPM
68,Causeway Point,North,Frasers Centrepoint,1.436070065080311,103.7859815242531,51,24.637681159420293,1,14.285714285714285,2,100.0,6,35.294117647058826,33,6.932773109243698,26.666666666666664,143980.0,15220.0,62.377386051449065,7,10,25.84715212689257,0.0,34.33990987699427,29.40817939278055,32.860390731730156,8,Platinum,True,True,True,True,False,Quick Wins
27,Ngee Ann City,Central,Ngee Ann Development,1.30224168528687,103.8351819122968,23,11.11111111111111,5,71.42857142857143,0,0.0,10,58.82352941176471,0,0.0,0.0,22270.0,2940.0,10.207556466050413,29,8,35.65248738284066,100.0,25.495383338520597,48.62001461629703,32.432772721853524,9,Platinum,True,True,True,True,True,Pioneer HPM
50,Century Square,East,Unknown,1.35236829566862,103.9438123022526,40,19.32367149758454,1,14.285714285714285,2,100.0,3,17.647058823529413,10,2.100840336134454,0.0,210650.0,31420.0,100.0,9,9,24.58543619322278,0.0,27.403167386117083,41.528478731074266,31.640760789604236,10,Platinum,True,True,True,True,False,Quick Wins
39,Square 2,Central,Unknown,1.320705109568455,103.8441607096606,56,27.053140096618357,2,28.57142857142857,0,0.0,16,94.11764705882352,10,2.100840336134454,0.0,55210.0,10020.0,27.91370108253635,5,6,13.95097332372026,100.0,24.554910531040107,47.28822480208553,31.374904812353734,11,Platinum,False,True,True,True,True,Pioneer HPM
74,Hougang Mall,North-East,Unknown,1.372491186358026,103.8937740666245,78,37.68115942028986,0,0.0,1,50.0,9,52.94117647058824,3,0.6302521008403361,0.0,107390.0,16880.0,51.80333220369252,4,13,31.687094448449898,50.0,24.752703013572578,44.496808884047475,30.675934774715046,12,Platinum,False,True,True,True,False,Quick Wins
72,Compass One,North-East,Unknown,1.39205314156707,103.8950705438402,51,24.637681159420293,0,0.0,1,50.0,5,29.411764705882355,0,0.0,0.0,190570.0,19210.0,81.6691406958819,19,14,44.59264599855804,50.0,18.445107511603677,58.753928898146654,30.53775392756657,13,Platinum,False,True,True,True,True,Pioneer HPM
9,Chinatown Point,Central,Unknown,1.284998828474023,103.8446970811421,38,18.35748792270531,1,14.285714285714285,2,100.0,6,35.294117647058826,82,17.22689075630252,0.0,30580.0,7040.0,16.88371312280515,61,12,68.09661139149243,0.0,30.776239642394795,28.326774838099194,30.041400201106118,14,Platinum,False,True,True,True,False,Quick Wins
60,Parkway Parade,Central,Unknown,1.301069755063101,103.9052794915233,24,11.594202898550725,3,42.857142857142854,0,0.0,5,29.411764705882355,355,74.57983193277312,0.0,36240.0,7490.0,19.19422076162972,11,3,10.165825522710886,100.0,24.29904328881311,43.12001542811354,29.945334930603238,15,Platinum,False,True,True,True,False,Quick Wins
227,Tanjong Pagar Plaza,Central,Unknown,1.275154977226049,103.8423931632715,12,5.797101449275362,3,42.857142857142854,1,50.0,5,29.411764705882355,8,1.680672268907563,0.0,28040.0,6760.0,15.772313364879672,43,15,63.66258111031002,50.0,22.922164034695996,43.144964825063234,28.98900427180617,16,Platinum,False,True,True,True,False,Quick Wins
69,Northpoint City,North,Unknown,1.429698486262892,103.8357764914675,49,23.67149758454106,0,0.0,2,100.0,6,35.294117647058826,8,1.680672268907563,0.0,145200.0,19110.0,66.49699265239914,5,11,27.10886806056236,0.0,27.350392653035442,31.201953570987172,28.50586092842096,17,Platinum,False,True,True,True,False,Quick Wins
111,Far East Shopping Centre,Central,Unknown,1.305506107489141,103.8299848220137,20,9.66183574879227,4,57.14285714285714,0,0.0,6,35.294117647058826,0,0.0,0.0,29940.0,4220.0,13.97848555507694,24,9,34.85940879596251,100.0,19.303824589417086,49.61263145034649,28.396466647695906,18,Platinum,False,True,True,True,True,Pioneer HPM
201,Rivervale Mall,North-East,Unknown,1.392197778384503,103.9044716000245,36,17.391304347826086,0,0.0,0,0.0,7,41.17647058823529,2,0.4201680672268907,0.0,170450.0,18140.0,73.9615264383543,19,13,41.961067051189616,100.0,9.452766613891932,71.97419782984798,28.209195978678746,19,Platinum,False,True,True,False,True,Strategic Investment
66,AMK Hub,North-East,Mercatus Co-operative Ltd,1.369389226903445,103.8484779659393,32,15.458937198067632,1,14.285714285714285,1,50.0,4,23.52941176470588,48,10.084033613445378,0.0,119100.0,26960.0,65.31906410139995,4,12,29.05551550108147,50.0,19.53691299386099,48.124859867493804,28.113297055950834,20,Platinum,False,True,True,True,True,Pioneer HPM
200,Rivervale Plaza,North-East,Unknown,1.385371516087007,103.9018496347969,39,18.84057971014493,0,0.0,1,50.0,7,41.17647058823529,3,0.6302521008403361,0.0,146410.0,16540.0,64.44523037495865,16,11,34.64311463590483,50.0,18.21201910715977,49.69611500362116,27.657247876098186,21,Platinum,False,False,True,True,True,Pioneer HPM
77,Punggol Plaza,North-East,Unknown,1.39423719717118,103.913047323223,65,31.40096618357488,0,0.0,1,50.0,8,47.05882352941176,3,0.6302521008403361,0.0,99540.0,8310.0,41.01205356461608,16,8,26.74837779379957,50.0,22.354610121021032,39.25347711947189,27.42427022055629,22,Platinum,False,False,True,True,False,Quick Wins
59,Our Tampines Hub,East,Unknown,1.35354740485205,103.9403811045466,19,9.178743961352655,3,42.857142857142854,2,100.0,3,17.647058823529413,0,0.0,0.0,79670.0,11220.0,37.18764280727275,9,8,21.95385724585436,0.0,30.700911604577414,19.71383335104237,27.404788128516902,23,Platinum,False,False,True,True,False,Quick Wins
20,Liat Towers,Central,Unknown,1.305087227108509,103.8307225811674,16,7.729468599033816,3,42.857142857142854,0,0.0,8,47.05882352941176,0,0.0,0.0,29940.0,4220.0,13.97848555507694,23,11,39.437635183850034,100.0,16.89964230458689,51.13870691297566,27.171361687103524,24,Platinum,False,False,True,True,True,Pioneer HPM
49,Bedok Mall,East,Unknown,1.324736327847299,103.929256259998,69,33.33333333333333,0,0.0,1,50.0,8,47.05882352941176,0,0.0,0.0,81840.0,16700.0,43.14108025188925,3,6,12.581110310021629,50.0,22.82135076252723,35.240730187303626,26.547164589960147,25,Platinum,False,False,True,True,False,Quick Wins
223,Hong Lim Complex,Central,Unknown,1.284392382174826,103.8461014719971,18,8.695652173913043,1,14.285714285714285,2,100.0,5,29.411764705882355,50,10.504201680672267,0.0,20720.0,4940.0,11.602095783367629,63,11,66.83489545782264,0.0,26.69183615475175,26.145663747063427,26.527984432445255,26,Platinum,False,False,True,True,False,Quick Wins
43,Tiong Bahru Plaza,Central,Unknown,1.286458894728254,103.8270152561934,47,22.705314009661837,0,0.0,1,50.0,9,52.94117647058824,41,8.61344537815126,0.0,79090.0,17070.0,42.58052029855757,13,7,22.0620043258832,50.0,21.479767430321566,38.2141748748136,26.50008966366918,27,Platinum,False,False,True,True,False,Quick Wins
79,Waterway Point,North-East,Unknown,1.406536116905548,103.9019881717096,52,25.120772946859905,0,0.0,2,100.0,6,35.294117647058826,36,7.563025210084033,0.0,74460.0,5040.0,29.555634759677353,20,10,34.751261715933666,0.0,28.406563913810288,21.43563215853701,26.315284387228303,28,Platinum,False,False,True,True,False,Quick Wins
47,Wheelock Place,Central,Unknown,1.304676287302523,103.8306420275763,19,9.178743961352655,3,42.857142857142854,0,0.0,6,35.294117647058826,0,0.0,0.0,29940.0,4220.0,13.97848555507694,23,9,34.17447728911319,100.0,15.995029251636243,49.384320948063376,26.01181676056438,29,Platinum,False,False,True,True,True,Pioneer HPM
